,Artist,Title,Year,Writers,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
286,Steely Dan,Deacon Blues,1977,"Walter Becker, Donald Fagen",7Hx2EA4wGaxtsiZCVVLV1i,56,0.75,0.58,0,-12.475,1,0.0355,0.437,0.000472,0.105,0.614,115.871,audio_features,7Hx2EA4wGaxtsiZCVVLV1i,spotify:track:7Hx2EA4wGaxtsiZCVVLV1i,https://api.spotify.com/v1/tracks/7Hx2EA4wGaxtsiZCVVLV1i,https://api.spotify.com/v1/audio-analysis/7Hx2EA4wGaxtsiZCVVLV1i,456640,4
287,The Rolling Stones,"Paint It, Black",1966,"Mick Jagger, Keith Richards",63T7DJ1AFDD6Bn8VzG6JE8,81,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4
288,Boston,More Than a Feeling,1976,Tom Scholz,1QEEqeFIZktqIpPI4jSVSF,80,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,audio_features,1QEEqeFIZktqIpPI4jSVSF,spotify:track:1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/tracks/1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF,285133,4
289,U2,With or Without You,1987,"Bono, Larry Mullen Jr., the Edge, Adam Clayton",6ADSaE87h8Y3lccZlBJdXH,81,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,6ADSaE87h8Y3lccZlBJdXH,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,295516,4
290,Funkadelic,One Nation Under a Groove,1978,"George Clinton, Garry Shider, Walter Morrison",2nqpN3cSmL0tTlJ724fE2a,38,0.788,0.852,4,-8.157,0,0.0419,0.416,0.00116,0.288,0.869,122.375,audio_features,2nqpN3cSmL0tTlJ724fE2a,spotify:track:2nqpN3cSmL0tTlJ724fE2a,https://api.spotify.com/v1/tracks/2nqpN3cSmL0tTlJ724fE2a,https://api.spotify.com/v1/audio-analysis/2nqpN3cSmL0tTlJ724fE2a,449640,4
291,Don Henley,Boys of Summer,1984,"Don Henley, Mike Campbell",4gvea7UlDkAvsJBPZAd4oB,78,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,audio_features,4gvea7UlDkAvsJBPZAd4oB,spotify:track:4gvea7UlDkAvsJBPZAd4oB,https://api.spotify.com/v1/tracks/4gvea7UlDkAvsJBPZAd4oB,https://api.spotify.com/v1/audio-analysis/4gvea7UlDkAvsJBPZAd4oB,288733,4
292,Hole,Doll Parts,1994,"Courtney Love, Eric Erlandson, Kristen Pfaff, Patty Schemel",49t1GWE6ZiEoBgN92oMDdM,63,0.245,0.542,7,-7.159,1,0.0324,0.147,4.05e-06,0.102,0.365,204.824,audio_features,49t1GWE6ZiEoBgN92oMDdM,spotify:track:49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/tracks/49t1GWE6ZiEoBgN92oMDdM,https://api.spotify.com/v1/audio-analysis/49t1GWE6ZiEoBgN92oMDdM,211960,4
293,Rage Against the Machine,Killing in the Name,1992,"Tim Commerford, Zack de la Rocha, Tom Morello, Brad Wilk
",59WN2psjkt1tyaxjspN8fp,80,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4
294,Glen Campbell,Wichita Lineman,1968,Jimmy Webb,6V9VCm1zOY2lGR80RehJ9i,65,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,audio_features,6V9VCm1zOY2lGR80RehJ9i,spotify:track:6V9VCm1zOY2lGR80RehJ9i,https://api.spotify.com/v1/tracks/6V9VCm1zOY2lGR80RehJ9i,https://api.spotify.com/v1/audio-analysis/6V9VCm1zOY2lGR80RehJ9i,186200,4
295,Britney Spears,...Baby One More Time,1998,Karl Sandberg,3MjUtNVVq3C8Fn0MP3zhXa,80,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067,4
